,text
64,former fbi top lawyer james baker just admitted involvement in fisa warrant and further admitted there were irregularities in the way the russia probe was handled. they relied heavily on the unverified trump “dossier” paid for by the dnc &amp; clinton campaign &amp; funded through a...
65,remember it was buzzfeed that released the totally discredited “dossier” paid for by crooked hillary clinton and the democrats (as opposition research) on which the entire russian probe is based! a very sad day for journalism but a great day for our country!
66,“gas prices drop across the united states because president trump has deregulated energy and we are now producing a great deal more oil than ever before.” but this is bad news for russia why would president trump do such a thing? thought he worked for kremlin?
67,....likewise do not want the kurds to provoke turkey. russia iran and syria have been the biggest beneficiaries of the long term u.s. policy of destroying isis in syria - natural enemies. we also benefit but it is now time to bring our troops back home. stop the endless wars!
68,i have been far tougher on russia than obama bush or clinton. maybe tougher than any other president. at the same time &amp; as i have often said getting along with russia is a good thing not a bad thing. i fully expect that someday we will have good relations with russia again!
69,how do you impeach a president who has won perhaps the greatest election of all time done nothing wrong (no collusion with russia it was the dems that colluded) had the most successful first two years of any president and is the most popular republican in party history %?
70,“absolutely nothing” (on russian collusion). kimberley strassel the wall street journal. the russian collusion fabrication is the greatest hoax in the history of american politics. the only russian collusion was with hillary and the democrats!
71,there has never been a president who has been tougher (but fair) on china or russia - never just look at the facts. the fake news tries so hard to paint the opposite picture.
72,so hard to believe that lindsey graham would be against saving soldier lives &amp; billions of $$$. why are we fighting for our enemy syria by staying &amp; killing isis for them russia iran &amp; other locals? time to focus on our country &amp; bring our youth back home where they belong!
73,....russia iran syria &amp; many others are not happy about the u.s. leaving despite what the fake news says because now they will have to fight isis and others who they hate without us. i am building by far the most powerful military in the world. isis hits us they are doomed!
74,getting out of syria was no surprise. i’ve been campaigning on it for years and six months ago when i very publicly wanted to do it i agreed to stay longer. russia iran syria &amp; others are the local enemy of isis. we were doing there work. time to come home &amp; rebuild. #maga
75,michael isikoff was the first to report dossier allegations and now seriously doubts the dossier claims. the whole russian collusion thing was a hoax but who is going to restore the good name of so many people whose reputations have been destroyed?
76,....will never be proven and are likely false.” thank you to michael isikoff yahoo for honesty. what this means is that the fisa warrants and the whole russian witch hunt is a fraud and a hoax which should be ended immediately. also it was paid for by crooked hillary &amp; dnc!
77,russia dossier reporter now doubts dopey christopher steele’s claims! “when you get into the details of the steele dossier the specific allegations we have not seen the evidence to support them. there’s good grounds to think that some of the more sensational allegations.....
78,good luck today in court to general michael flynn. will be interesting to see what he has to say despite tremendous pressure being put on him about russian collusion in our great and obviously highly successful political campaign. there was no collusion!
79,....the russian witch hunt hoax started as the “insurance policy” long before i even got elected is very bad for our country. they are entrapping people for misstatements lies or unrelated things that took place many years ago. nothing to do with collusion. a democrat scam!
80,wow texts between lisa page and her lover peter s of the fbi in charge of the russia hoax were just reported as being wiped clean and gone. such a big story that will never be covered by the fake news. witch hunt!
81,never in the history of our country has the “press” been more dishonest than it is today. stories that should be good are bad. stories that should be bad are horrible. many stories like with the real story on russia clinton &amp; the dnc seldom get reported. too bad!
82,james comey’s behind closed doors testimony reveals that “there was not evidence of campaign collusion” with russia when he left the fbi. in other words the witch hunt is illegal and should never have been started!
83,“democrats can’t find a smocking gun tying the trump campaign to russia after james comey’s testimony. no smocking gun...no collusion.” that’s because there was no collusion. so now the dems go to a simple private transaction wrongly call it a campaign contribution...
84,“this is collusion illusion there is no smoking gun here. at this late date after all that we have gone through after millions have been spent we have no russian collusion. there is nothing impeachable here.” time for the witch hunt to end!
85,without the phony russia witch hunt and with all that we have accomplished in the last almost two years (tax &amp; regulation cuts judge’s military vets etc.) my approval rating would be at % rather than the % just reported by rasmussen. it’s called presidential harassment!
86,i am certain that at some time in the future president xi and i together with president putin of russia will start talking about a meaningful halt to what has become a major and uncontrollable arms race. the u.s. spent billion dollars this year. crazy!
87,....lightly looked at doing a building somewhere in russia. put up zero money zero guarantees and didn’t do the project. witch hunt!
88,“this demonstrates the robert mueller and his partisans have no evidence not a whiff of collusion between trump and the russians. russian project legal. trump tower meeting (son don) perfectly legal. he wasn’t involved with hacking.” gregg jarrett. a total witch hunt!
89,based on the fact that the ships and sailors have not been returned to ukraine from russia i have decided it would be best for all parties concerned to cancel my previously scheduled meeting....
90,when will this illegal joseph mccarthy style witch hunt one that has shattered so many innocent lives ever end-or will it just go on forever? after wasting more than $ (is that possible?) it has proven only one thing-there was no collusion with russia. so ridiculous!
91,....hundreds of people closely involved with my campaign who never met saw or spoke to a russian during this period? so many campaign workers people inside from the beginning ask me why they have not been called (they want to be). there was no collusion &amp; mueller knows it!
92,the only “collusion” is that of the democrats with russia and many others. why didn’t the fbi take the server from the dnc? they still don’t have it. check out how biased facebook google and twitter are in favor of the democrats. that’s the real collusion!
93,emmanuel macron suggests building its own army to protect europe against the u.s. china and russia. but it was germany in world wars one &amp; two - how did that work out for france? they were starting to learn german in paris before the u.s. came along. pay for nato or not!
94,president macron of france has just suggested that europe build its own military in order to protect itself from the u.s. china and russia. very insulting but perhaps europe should first pay its fair share of nato which the u.s. subsidizes greatly!
95,you mean they are just now finding votes in florida and georgia – but the election was on tuesday? let’s blame the russians and demand an immediate apology from president putin!
96,rumor has it that senator joe donnelly of indiana is paying for facebook ads for his so-called opponent on the libertarian ticket. donnelly is trying to steal the election? isn’t that what russia did!?
97,the new york times has a new fake story that now the russians and chinese (glad they finally added china) are listening to all of my calls on cellphones. except that i rarely use a cellphone &amp; when i do it’s government authorized. i like hard lines. just more made up fake news!
98,for the record i have no financial interests in saudi arabia (or russia for that matter). any suggestion that i have is just more fake news (of which there is plenty)!
99,i met with the doj concerning the declassification of various unredacted documents. they agreed to release them but stated that so doing may have a perceived negative impact on the russia probe. also key allies’ called to ask not to release. therefore the inspector general.....
100,watch at : p.m. on russian hoax the big topic! mainstream media often referred to as the fake news media hates to discuss the real facts!
101,just watched sunday morning futures with on this show is mandatory watching if you want to understand the massive governmental corruption and the russian hoax. it will be rebroadcast this evening at : p.m. on a must see!
102,the illegal mueller witch hunt continues in search of a crime. there was never collusion with russia except by the clinton campaign so the angry democrats are looking at anything they can find. very unfair and bad for the country. also not allowed under the law!
103,while my (our) poll numbers are good with the economy being the best ever if it weren’t for the rigged russian witch hunt they would be points higher! highly conflicted bob mueller &amp; the angry democrats are using this phony issue to hurt us in the midterms. no collusion!
104,“the president has absolutely demonstrated no wrongdoing whatsoever &amp; that the special counsel has no evidence of any wrongdoing. in other words it’s time to end this witch hunt.” russian “collusion” was just an excuse by the democrats for having lost the election!
105,“we have found nothing to show collusion between president trump &amp; russia absolutely zero but every day we get more documentation showing collusion between the fbi &amp; doj the hillary campaign foreign spies &amp; russians incredible.”
106,president bashar al-assad of syria must not recklessly attack idlib province. the russians and iranians would be making a grave humanitarian mistake to take part in this potential human tragedy. hundreds of thousands of people could be killed. don’t let that happen!
107,“there is no possible way the trump tower meeting between don trump jr and a couple of russians who have very deep connections to both the clintons &amp; fusion gps &amp; where no information on the clintons was exchanged is a crime. dems are blinded by their hatred of trump.” bongino
108,“no information was ever given by the trump team to russia yet the hillary clinton campaign paid for information from kremlin sources and just washed it through an intermediary christopher steele.” jesse waters
109,....positions of power. that’s part of the story of the russia hoax. christopher steele is on the payroll of hillary clinton &amp; the fbi &amp; when they fired him for lying they continued to use him. violation of fbi regulations. kept trying to verify the unverifiable.”
110,the rigged russia witch hunt did not come into play even a little bit with respect to my decision on don mcgahn!
111,wow nellie ohr bruce ohr’s wife is a russia expert who is fluent in russian. she worked for fusion gps where she was paid a lot. collusion! bruce was a boss at the department of justice and is unbelievably still there!
112,what’s going on at is happening to different degrees at other networks - with being the worst. the good news is that andy lack(y) is about to be fired(?) for incompetence and much worse. when lester holt got caught fudging my tape on russia they were hurt badly!
113,“hillary clinton and the dnc paid for information from the russian government to use against her government - there’s no doubt about that!”
114,report just out: “china hacked hillary clinton’s private email server.” are they sure it wasn’t russia (just kidding!)? what are the odds that the fbi and doj are right on top of this? actually a very big story. much classified information!
115,....fisa abuse christopher steele &amp; his phony and corrupt dossier the clinton foundation illegal surveillance of trump campaign russian collusion by dems - and so much more. open up the papers &amp; documents without redaction? come on jeff you can do it the country is waiting!
116,disgraced and discredited bob mueller and his whole group of angry democrat thugs spent over hours with the white house councel only with my approval for purposes of transparency. anybody needing that much time when they know there is no russian collusion is just someone....
117,all of the fools that are so focused on looking only at russia should start also looking in another direction china. but in the end if we are smart tough and well prepared we will get along with everyone!
118,“fox news has learned that bruce ohr wrote christopher steele following the firing of james comey saying that he was afraid the anti-trump russia probe will be exposed.” charles payne how much more does mueller have to see? they have blinders on - rigged!
119,“while steele shopped the document to multiple media outlets he also asked for help with a russian oligarch.” catherine herridge of in other words they were colluding with russia!
120,mark levin “when they had power they didn’t stop the russians the chinese the north koreans they funded the iranians &amp; are responsible for the greatest scandal in american history by interfering with our election &amp; trying to undermine the trump campaign and trump presidency.”
121,the rigged russian witch hunt goes on and on as the “originators and founders” of this scam continue to be fired and demoted for their corrupt and illegal activity. all credibility is gone from this terrible hoax and much more will be lost as it proceeds. no collusion!
122,lou dobbs: “this cannot go forward...this special counsel with all of his conflicts with his angry democrats without any evidence of collusion by the trump campaign and russia. the dems are the ones who should be investigated.” thank you lou so true!
123,fired fbi agent peter strzok is a fraud as is the rigged investigation he started. there was no collusion or obstruction with russia and everybody including the democrats know it. the only collusion and obstruction was by crooked hillary the democrats and the dnc!
124,lou dobbs: “this cannot go forward...this special councel with all of his conflicts with his angry democrats without any evidence of collusion by the trump campaign and russia. the dems are the ones who should be investigated.” thank you lou so true!
125,.@mariabartiromo “no evidence to launch even an investigation into potential collusion between donald trump and the russians - and here we are a year and a half later.”
126,“there has been no evidence whatsoever that donald trump or the campaign was involved in any kind of collusion to fix the election. in fact the evidence is the opposite that hillary clinton &amp; the democrats colluded with the russians to fix the election.”
127,....a law firm eventually kremlin connected sources to gather info on donald trump. collusion is very real with russia but only with hillary and the democrats and we should demand a full investigation.” dan bongino on looking forward to the new ig report!
128,“collusion with russia was very real. hillary clinton and her team % colluded with the russians and so did adam schiff who is on tape trying to collude with what he thought was russians to obtain compromising material on djt. we also know that hillary clinton paid through....
129,...dianne is the person leading our nation on “collusion” with russia (only done by dems). will she now investigate herself?
130,congratulations to gregg jarrett on his book “the russia hoax the illicit scheme to clear hillary clinton and frame donald trump” going to # on and amazon. it is indeed a hoax and witch hunt illegally started by people who have already been disgraced. great book!
131,congratulations to on the tremendous success of his just out book “the russia hoax the illicit scheme to clear hillary clinton &amp; frame donald trump.” already number one on amazon. hard work from a brilliant guy. it’s the real story of the rigged witch hunt!
132,“we already have a smoking gun about a campaign getting dirt on their opponent it was hillary clinton. how is it ok for hillary clinton to proactively seek dirt from the russians but the trump campaign met at the russians request and that is bad?” marc thiessen washington post
133,looking back on history who was treated worse alfonse capone legendary mob boss killer and “public enemy number one” or paul manafort political operative &amp; reagan/dole darling now serving solitary confinement - although convicted of nothing? where is the russian collusion?
134,“we already have a smocking gun about a campaign getting dirt on their opponent it was hillary clinton. how is it ok for hillary clinton to proactively seek dirt from the russians but the trump campaign met at the russians request and that is bad?” marc thiessen washington post
135,russian collusion with the trump campaign one of the most successful in history is a total hoax. the democrats paid for the phony and discredited dossier which was along with comey mccabe strzok and his lover the lovely lisa page used to begin the witch hunt. disgraceful!
136,....also why is mueller only appointing angry dems some of whom have worked for crooked hillary others including himself have worked for obama....and why isn’t mueller looking at all of the criminal activity &amp; real russian collusion on the democrats side-podesta dossier?
137,....the only collusion with russia was with the democrats so now they are looking at my tweets (along with million other people) - the rigged witch hunt continues! how stupid and unfair to our country....and so the fake news doesn’t waste my time with dumb questions no....
138,“the russia hoax the illicit scheme to clear hillary clinton &amp; frame donald trump” is a hot seller already number one! more importantly it is a great book that everyone is talking about. it covers the rigged witch hunt brilliantly. congratulations to gregg jarrett!
139,i’m very concerned that russia will be fighting very hard to have an impact on the upcoming election. based on the fact that no president has been tougher on russia than me they will be pushing very hard for the democrats. they definitely don’t want trump!
140,.....”carter page wasn’t a spy wasn’t an agent of the russians - he would have cooperated with the fbi. it was a fraud and a hoax designed to target trump.” tom fitton a disgrace to america. they should drop the discredited mueller witch hunt now!
141,so president obama knew about russia before the election. why didn’t he do something about it? why didn’t he tell our campaign? because it is all a big hoax that’s why and he thought crooked hillary was going to win!!!
142,“trump recognized russian meddling many times”
143,“trump recognized russian meddling many times.”
144,the summit with russia was a great success except with the real enemy of the people the fake news media. i look forward to our second meeting so that we can start implementing some of the many things discussed including stopping terrorism security for israel nuclear........
145,“trump recognized russian meddling many times.” thank you to and for actually showing the clips. the fake news wants no part of that narrative! too bad they don’t want to focus on all of the economic and jobs records being set.
146,the fake news media wants so badly to see a major confrontation with russia even a confrontation that could lead to war. they are pushing so recklessly hard and hate the fact that i’ll probably have a good relationship with putin. we are doing much better than any other country!
147,some people hate the fact that i got along well with president putin of russia. they would rather go to war than see this. it’s called trump derangement syndrome!
148,....russia has agreed to help with north korea where relationships with us are very good and the process is moving along. there is no rush the sanctions remain! big benefits and exciting future for north korea at end of process!
149,while the nato meeting in brussels was an acknowledged triumph with billions of dollars more being put up by member countries at a faster pace the meeting with russia may prove to be in the long run an even greater success. many positive things will come out of that meeting..
150,while i had a great meeting with nato raising vast amounts of money i had an even better meeting with vladimir putin of russia. sadly it is not being reported that way - the fake news is going crazy!
151,i had a great meeting with nato. they have paid $ billion more and will pay hundreds of billions of dollars more in the future only because of me. nato was weak but now it is strong again (bad for russia). the media only says i was rude to leaders never mentions the money!
152,a productive dialogue is not only good for the united states and good for russia but it is good for the world. #
153,our relationship with russia has never been worse thanks to many years of u.s. foolishness and stupidity and now the rigged witch hunt!
154,president obama thought that crooked hillary was going to win the election so when he was informed by the fbi about russian meddling he said it couldn’t happen was no big deal &amp; did nothing about it. when i won it became a big deal and the rigged witch hunt headed by strzok!
155,congratulations to france who played extraordinary soccer on winning the world cup. additionally congratulations to president putin and russia for putting on a truly great world cup tournament -- one of the best ever!
156,heading to helsinki finland – looking forward to meeting with president putin tomorrow. unfortunately no matter how well i do at the summit if i was given the great city of moscow as retribution for all of the sins and evils committed by russia...
157,these russian individuals did their work during the obama years. why didn’t obama do something about it? because he thought crooked hillary clinton would win that’s why. had nothing to do with the trump administration but fake news doesn’t want to report the truth as usual!
158,the stories you heard about the russians yesterday took place during the obama administration not the trump administration. why didn’t they do something about it especially when it was reported that president obama was informed by the fbi in september before the election?
159,the stories you heard about the russians yesterday took place during the obama administration not the trump administrations. why didn’t they do something about it especially when it was reported that president obama was informed by the fbi in september before the election?
160,....on top of it all germany just started paying russia the country they want protection from billions of dollars for their energy needs coming out of a new pipeline from russia. not acceptable! all nato nations must meet their % commitment and that must ultimately go to %!
161,presidents have been trying unsuccessfully for years to get germany and other rich nato nations to pay more toward their protection from russia. they pay only a fraction of their cost. the u.s. pays tens of billions of dollars too much to subsidize europe and loses big on trade!
162,billions of additional dollars are being spent by nato countries since my visit last year at my request but it isn’t nearly enough. u.s. spends too much. europe’s borders are bad! pipeline dollars to russia are not acceptable!
163,what good is nato if germany is paying russia billions of dollars for gas and energy? why are there only out of countries that have met their commitment? the u.s. is paying for europe’s protection then loses billions on trade. must pay % of gdp immediately not by .
164,what good is nato if germany is paying russia billions of dollars for gas and energy? why are their only out of countries that have met their commitment? the u.s. is paying for europe’s protection then loses billions on trade. must pay % of gdp immediately not by .
165,public opinion has turned strongly against the rigged witch hunt and the “special” counsel because the public understands that there was no collusion with russia (so ridiculous) that the two fbi lovers were a fraud against our nation &amp; that the only collusion was with the dems!
166,public opinion has turned strongly against the rigged witch hunt and the “special” councel because the public understands that there was no collusion with russia (so ridiculous) that the two fbi lovers were a fraud against our nation &amp; that the only collusion was with the dems!
167,just won lawsuit filed by the dnc and a bunch of democrat crazies trying to claim the trump campaign (and others) colluded with russia. they haven’t figured out that this was an excuse for them losing the election!
168,russia continues to say they had nothing to do with meddling in our election! where is the dnc server and why didn’t shady james comey and the now disgraced fbi agents take and closely examine it? why isn’t hillary/russia being looked at? so many questions so much corruption!
169,major wall street journal opinion piece today talking about the russian witch hunt and the disgrace that it is. so many people hurt so bad for our country - a total sham!
170,the russian witch hunt is rigged!
171,.@foxnews poll numbers plummet on the democrat inspired and paid for russian witch hunt. with all of the bias lying and hate by the investigators people want the investigators investigated. much more will come out. a total scam and excuse for the dems losing the election!
172,witch hunt! there was no russian collusion. oh i see there was no russian collusion so now they look for obstruction on the no russian collusion. the phony russian collusion was a made up hoax. too bad they didn’t look at crooked hillary like this. double standard!
173,fbi agent peter strzok who headed the clinton &amp; russia investigations texted to his lover lisa page in the ig report that “we’ll stop” candidate trump from becoming president. doesn’t get any lower than that!
174,so the democrats make up a phony crime collusion with the russians pay a fortune to make the crime sound real illegally leak (comey) classified information so that a special councel will be appointed and then collude to make this pile of garbage take on life in fake news!
175,i am heading for canada and the g- for talks that will mostly center on the long time unfair trade practiced against the united states. from there i go to singapore and talks with north korea on denuclearization. won’t be talking about the russian witch hunt hoax for a while!
176,the russian witch hunt hoax continues all because jeff sessions didn’t tell me he was going to recuse himself...i would have quickly picked someone else. so much time and money wasted so many lives ruined...and sessions knew better than most that there was no collusion!
177,the fake news media is desperate to distract from the economy and record setting economic numbers and so they keep talking about the phony russian witch hunt.
178,there was no collusion with russia (except by the democrats). when will this very expensive witch hunt hoax ever end? so bad for our country. is the special counsel/justice department leaking my lawyers letters to the fake news media? should be looking at dems corruption instead?
179,there was no collusion with russia (except by the democrats). when will this very expensive witch hunt hoax ever end? so bad for our country. is the special councel/justice department leaking my lawyers letters to the fake news media? should be looking at dems corruption instead?
180,....“$ million spent it’s a scam investigation. americans are being worked. we now know there was russian collusion with russians and the democrats. the mueller team is stacked with anti-trumpers who actually represented clinton people (&amp; gave $’s to crooked h).” dan bongino
181,a.p. has just reported that the russian hoax investigation has now cost our government over $ million and going up fast. no collusion except by the democrats!
182,not that it matters but i never fired james comey because of russia! the corrupt mainstream media loves to keep pushing that narrative but they know it is not true!
183,rush limbaugh “if the fbi was so concerned and if they weren’t targeting trump they should have told trump. if they were really concerned about the russians infiltrating a campaign (hoax) then why not try to stop it? why not tell trump? because they were pushing this scam.”
184,the soon to be released book “the russia hoax the illicit scheme to clear hillary clinton and frame donald trump” written by gregg jarrett looks like a real deal big hit. the phony witch hunt will be opened up for the world to see! out in weeks.
185,sorry i’ve got to start focusing my energy on north korea nuclear bad trade deals va choice the economy rebuilding the military and so much more and not on the rigged russia witch hunt that should be investigating clinton/russia/fbi/justice/obama/comey/lynch etc.
